Date,Share price
1993.496235,1.86
1993.4141,2.22
1993.334702,2.33
1993.247091,2.15
1993.162218,2.33
1993.085558,2.1
1993.008898,2.18
1992.915811,2.15
1992.836413,2.34
1992.748802,2.23
1992.666667,2.03
1992.587269,1.88
1992.49692,1.83
1992.414784,1.76
1992.329911,2.03
1992.247775,1.85
1992.16564,1.99
1992.08898,2.07
1992.001369,2.02
1991.916496,1.87
1991.831622,1.63
1991.746749,1.58
1991.670089,1.49
1991.57974,1.43
1991.494867,1.23
1991.418207,1.14
1991.327858,1.23
1991.245722,1.11
1991.160849,1.19
1991.084189,1.16
1991.002053,1.1
1990.919918,0.84
1990.832307,0.81
1990.747433,0.71
1990.673511,0.7
1990.580424,0.69
1990.498289,0.74
1990.413415,0.85
1990.328542,0.82
1990.249144,0.65
1990.161533,0.62
1990.084873,0.55
1990.002738,0.52
1989.915127,0.49
1989.832991,0.49
1989.750856,0.46
1989.665982,0.38
1989.581109,0.33
1989.501711,0.31
1989.4141,0.3
1989.329227,0.34
1989.252567,0.31
1989.162218,0.28
1989.085558,0.33
1989.00616,0.33
1988.915811,0.3
1988.833676,0.26
1988.754278,0.27
1988.666667,0.29
1988.581793,0.28
1988.49692,0.33
1988.414784,0.37
1988.332649,0.32
1988.255989,0.3
1988.162902,0.32
1988.083504,0.33
1988.006845,0.31
1987.913758,0.3
1987.83436,0.25
1987.746749,0.28
1987.664613,0.37
1987.585216,0.33
1987.494867,0.26
1987.412731,0.29
1987.327858,0.32
1987.245722,0.29
1987.163587,0.27
1987.086927,0.21
1987.002053,0.2
1986.914442,0.13
1986.837782,0.14
1986.747433,0.11
1986.668036,0.08
1986.580424,0.08
1986.495551,0.08
1986.416153,0.09
1986.328542,0.1
1986.246407,0.09
1986.194387,0.08
