Date,Share price
1993.496235,6.71
1993.4141,9.55
1993.334702,13.69
1993.247091,12.37
1993.162218,12.43
1993.085558,12.79
1993.008898,14.33
1992.915811,14.39
1992.836413,13.84
1992.748802,12.61
1992.666667,10.84
1992.587269,11.05
1992.49692,11.2
1992.414784,11.5
1992.329911,14.29
1992.247775,14.38
1992.16564,13.93
1992.08898,16.14
1992.001369,15.46
1991.916496,13.46
1991.831622,12.11
1991.746749,12.26
1991.670089,11.79
1991.57974,12.62
1991.494867,10.99
1991.418207,9.86
1991.327858,11.17
1991.245722,13.03
1991.160849,16.11
1991.084189,13.57
1991.002053,13.12
1990.919918,10.17
1990.832307,8.69
1990.747433,7.25
1990.673511,6.83
1990.580424,8.72
1990.498289,9.87
1990.413415,10.52
1990.328542,9.69
1990.249144,9.23
1990.161533,9.43
1990.084873,7.97
1990.002738,7.94
1989.915127,8.23
1989.832991,10.34
1989.750856,10.83
1989.665982,10.37
1989.581109,10.37
1989.501711,9.24
1989.4141,9.59
1989.329227,11.1
1989.252567,9.05
1989.162218,8.26
1989.085558,8.41
1989.00616,8.73
1988.915811,9.31
1988.833676,8.7
1988.754278,8.91
1988.666667,9.98
1988.581793,9.2
1988.49692,10.22
1988.414784,10.65
1988.332649,9.56
1988.255989,9.42
1988.162902,9.19
1988.083504,9.88
1988.006845,9.52
1987.913758,9.63
1987.83436,7.57
1987.746749,8.84
1987.664613,12.93
1987.585216,12.36
1987.494867,9.43
1987.412731,9.26
1987.327858,9.03
1987.245722,9.04
1987.163587,7.36
1987.086927,7.99
1987.002053,6.33
1986.914442,4.62
1986.837782,4.56
1986.747433,3.95
1986.668036,3.82
1986.580424,4.22
1986.495551,3.57
1986.416153,4.09
1986.328542,4.22
1986.246407,3.45
1986.167009,3.22
1986.090349,2.85
1986.002738,2.64
1985.917864,2.51
1985.832991,2.3
1985.748118,2.12
1985.671458,1.8
1985.581109,1.71
1985.496235,1.81
1985.419576,2.05
1985.329227,1.98
1985.247091,2.42
1985.162218,2.52
1985.085558,2.82
1985.003422,3.31
1984.921287,3.32
1984.833676,2.82
1984.748802,2.84
1984.683094,2.87
